Date,Day_of_Week,Semester,Starch,Protein,Side,Full_Menu,Academic_Event,Meals_Served
2025-02-17,Monday,1,Sadza,Beans,Vegs,"Sadza, Beans & Vegs",Regular,755
2025-02-18,Tuesday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,830
2025-02-19,Wednesday,1,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,1035
2025-02-20,Thursday,1,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,766
2025-02-21,Friday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,978
2025-02-22,Saturday,1,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,667
2025-02-23,Sunday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,611
2025-02-24,Monday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1018
2025-02-25,Tuesday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,966
2025-02-26,Wednesday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,1053
2025-02-27,Thursday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1011
2025-02-28,Friday,1,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,778
2025-03-01,Saturday,1,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,385
2025-03-02,Sunday,1,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,325
2025-03-03,Monday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,839
2025-03-04,Tuesday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,799
2025-03-05,Wednesday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,1037
2025-03-06,Thursday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,1074
2025-03-07,Friday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,818
2025-03-08,Saturday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,409
2025-03-09,Sunday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,622
2025-03-10,Monday,1,Sadza,Beans,Vegs,"Sadza, Beans & Vegs",Regular,833
2025-03-11,Tuesday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,772
2025-03-12,Wednesday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,969
2025-03-13,Thursday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,848
2025-03-14,Friday,1,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,1089
2025-03-15,Saturday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,593
2025-03-16,Sunday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,611
2025-03-17,Monday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,1054
2025-03-18,Tuesday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,789
2025-03-19,Wednesday,1,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,968
2025-03-20,Thursday,1,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,977
2025-03-21,Friday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,845
2025-03-22,Saturday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,560
2025-03-23,Sunday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,628
2025-03-24,Monday,1,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,743
2025-03-25,Tuesday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,795
2025-03-26,Wednesday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,973
2025-03-27,Thursday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,789
2025-03-28,Friday,1,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,741
2025-03-29,Saturday,1,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,611
2025-03-30,Sunday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,581
2025-03-31,Monday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,1050
2025-04-01,Tuesday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,1043
2025-04-02,Wednesday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,803
2025-04-03,Thursday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,1001
2025-04-04,Friday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,799
2025-04-05,Saturday,1,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,344
2025-04-06,Sunday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,412
